playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-AMC-FW-,"AM(C),FW",Germany,UCL,4,0,2,5,0,Harry Kane,83532,Forward,37,Bayern,Europe,Champions League,311,0,0,1
-FW-,FW,Turkey,UCL,3,0,2,6,0,Victor Osimhen,298510,Forward,294,Galatasaray,Europe,Champions League,226,0,0,2
-FW-,FW,Italy,UCL,3,0,3,4,0,Lautaro Martínez,299344,Forward,75,Inter,Europe,Champions League,172,1,0,3
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,0,2,5,0,Kylian Mbappé,300713,Forward,52,Real Madrid,Europe,Champions League,351,0,0,4
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,3,0,2,2,1,Phil Foden,331254,Midfielder,167,Man City,Europe,Champions League,270,0,0,5
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,0,2,2,2,Julián Alvarez,365409,Forward,63,Atletico,Europe,Champions League,270,0,0,6
-AMC-AML-AMR-FW-,"AM(CLR),FW",France,UCL,3,0,1,2,1,Khvicha Kvaratskhelia,370984,Forward,304,PSG,Europe,Champions League,228,0,0,7
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,4,0,1,4,1,Marcus Rashford,300299,Forward,65,Barcelona,Europe,Champions League,327,0,0,8
-AMR-,AM(R),Spain,UCL,3,0,0,2,1,Lamine Yamal,480249,Forward,65,Barcelona,Europe,Champions League,255,2,0,9
-AMC-AML-,AM(CL),Spain,UCL,3,0,1,3,2,Fermín López,463838,Midfielder,65,Barcelona,Europe,Champions League,270,2,0,10
-DL-ML-,"D(L),M(L)",France,UCL,4,0,1,2,2,Nuno Mendes,395221,Defender,304,PSG,Europe,Champions League,345,2,0,11
-AMC-AML-AMR-,AM(CLR),Germany,UCL,4,0,0,1,2,Michael Olise,371281,Midfielder,37,Bayern,Europe,Champions League,334,1,0,12
-FW-,FW,England,UCL,4,0,1,5,0,Erling Haaland,315227,Forward,167,Man City,Europe,Champions League,342,0,0,13
-AMC-AML-AMR-,AM(CLR),Norway,UCL,4,0,2,2,0,Jens Petter Hauge,320977,Midfielder,439,Bodoe/Glimt,Europe,Champions League,356,0,0,14
-AML-AMR-FW-,"AM(LR),FW",England,UCL,3,1,0,3,1,Gabriel Martinelli,380706,Forward,13,Arsenal,Europe,Champions League,182,0,0,15
