tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
UCL,4,0,2,5,0,Harry Kane,83532,Forward,37,Bayern,12,250,ceu,Europe,Champions League,8.6,311,0,0,1
UCL,3,0,2,6,0,Victor Osimhen,298510,Forward,294,Galatasaray,12,250,ceu,Europe,Champions League,8.45,226,0,0,2
UCL,3,0,3,4,0,Lautaro Martínez,299344,Forward,75,Inter,12,250,ceu,Europe,Champions League,8.446666667,172,1,0,3
UCL,4,0,2,5,0,Kylian Mbappé,300713,Forward,52,Real Madrid,12,250,ceu,Europe,Champions League,8.29,351,0,0,4
UCL,3,0,2,2,1,Phil Foden,331254,Midfielder,167,Man City,12,250,ceu,Europe,Champions League,8.25,270,0,0,5
UCL,3,0,2,2,2,Julián Alvarez,365409,Forward,63,Atletico,12,250,ceu,Europe,Champions League,8.136666667,270,0,0,6
UCL,3,0,1,2,1,Khvicha Kvaratskhelia,370984,Forward,304,PSG,12,250,ceu,Europe,Champions League,8.06,228,0,0,7
UCL,4,0,1,4,1,Marcus Rashford,300299,Forward,65,Barcelona,12,250,ceu,Europe,Champions League,8.045,327,0,0,8
UCL,3,0,0,2,1,Lamine Yamal,480249,Forward,65,Barcelona,12,250,ceu,Europe,Champions League,8.04,255,2,0,9
UCL,3,0,1,3,2,Fermín López,463838,Midfielder,65,Barcelona,12,250,ceu,Europe,Champions League,8.036666667,270,2,0,10
UCL,4,0,1,2,2,Nuno Mendes,395221,Defender,304,PSG,12,250,ceu,Europe,Champions League,7.995,345,2,0,11
UCL,4,0,0,1,2,Michael Olise,371281,Midfielder,37,Bayern,12,250,ceu,Europe,Champions League,7.8725,334,1,0,12
UCL,4,0,1,5,0,Erling Haaland,315227,Forward,167,Man City,12,250,ceu,Europe,Champions League,7.7975,342,0,0,13
UCL,4,0,2,2,0,Jens Petter Hauge,320977,Midfielder,439,Bodoe/Glimt,12,250,ceu,Europe,Champions League,7.7525,356,0,0,14
UCL,3,1,0,3,1,Gabriel Martinelli,380706,Forward,13,Arsenal,12,250,ceu,Europe,Champions League,7.743333333,182,0,0,15
UCL,4,0,1,1,3,Dominik Szoboszlai,369875,Midfielder,26,Liverpool,12,250,ceu,Europe,Champions League,7.7175,360,0,0,16
UCL,4,1,1,1,2,Hakan Çalhanoglu,110373,Midfielder,75,Inter,12,250,ceu,Europe,Champions League,7.7075,255,0,0,17
UCL,4,0,1,0,1,Thibaut Courtois,73798,Goalkeeper,52,Real Madrid,12,250,ceu,Europe,Champions League,7.7025,360,0,0,18
