playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-AML-AMR-FW-,"AM(CLR),FW",11,1,1,8,3,Mason Greenwood,367782,Forward,249,Marseille,22,fr,France,Ligue 1,7.442727273,865,1,0,1
-DL-MC-ML-,"D(L),M(CL)",12,1,1,1,4,Valentín Barco,419341,Midfielder,148,Strasbourg,22,fr,France,Ligue 1,7.3625,988,2,0,2
-AMC-AMR-FW-,"AM(CR),FW",12,0,3,5,4,Ilan Kebbal,422186,Midfielder,2832,Paris FC,22,fr,France,Ligue 1,7.36,1050,2,0,3
-MC-ML-MR-,M(CLR),11,0,1,3,2,Aron Dønnum,339671,Midfielder,246,Toulouse,22,fr,France,Ligue 1,7.333636364,990,5,0,4
-MC-,M(C),11,2,2,1,6,Vitinha,384887,Midfielder,304,PSG,22,fr,France,Ligue 1,7.295454545,788,0,0,5
-MC-ML-MR-,M(CLR),12,0,3,1,4,Adrien Thomasson,113747,Midfielder,309,Lens,22,fr,France,Ligue 1,7.276666667,1074,4,0,6
-FW-,FW,12,1,3,9,0,Joaquín Panichelli,458728,Forward,148,Strasbourg,22,fr,France,Ligue 1,7.270833333,958,2,0,7
-DC-DL-,D(CL),7,0,1,1,0,Mohammed Salisu,362357,Defender,248,Monaco,22,fr,France,Ligue 1,7.184285714,630,3,0,8
-DC-,D(C),12,0,2,3,1,Charlie Cresswell,400646,Defender,246,Toulouse,22,fr,France,Ligue 1,7.179166667,1080,3,0,9
-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",7,2,1,0,1,Krépin Diatta,335692,Midfielder,248,Monaco,22,fr,France,Ligue 1,7.172857143,552,0,0,10
-GK-,GK,12,0,4,0,0,Hervé Koffi,332870,Goalkeeper,614,Angers,22,fr,France,Ligue 1,7.169166667,1080,0,0,11
-FW-,FW,10,0,2,7,3,Estéban Lepaul,515577,Forward,313,Rennes,22,fr,France,Ligue 1,7.166,823,0,0,12
-GK-,GK,11,0,3,0,0,Anthony Lopes,71833,Goalkeeper,302,Nantes,22,fr,France,Ligue 1,7.150909091,989,1,0,13
-DC-DL-,D(CL),7,0,1,1,0,Beraldo,440085,Defender,304,PSG,22,fr,France,Ligue 1,7.128571429,581,0,0,14
-DR-ML-MR-,"D(R),M(LR)",9,1,1,1,2,Jonathan Clauss,301869,Defender,613,Nice,22,fr,France,Ligue 1,7.105555556,707,0,0,15
-AMC-AML-AMR-FW-,"AM(CLR),FW",11,0,1,4,2,Romain Del Castillo,300291,Midfielder,2332,Brest,22,fr,France,Ligue 1,7.102727273,933,0,0,16
-GK-,GK,10,0,2,0,0,Gerónimo Rulli,125375,Goalkeeper,249,Marseille,22,fr,France,Ligue 1,7.099,900,0,0,17
-AML-FW-,"AM(L),FW",12,0,2,3,2,Issa Soumaré,422864,Forward,217,Le Havre,22,fr,France,Ligue 1,7.095,1080,1,0,18
-AML-AMR-FW-,"AM(LR),FW",10,2,1,4,0,Bradley Barcola,425366,Forward,304,PSG,22,fr,France,Ligue 1,7.094,640,2,0,19
-DC-,D(C),11,1,2,2,0,Samson Baidoo,454321,Defender,309,Lens,22,fr,France,Ligue 1,7.091818182,945,2,0,20
-DC-DR-MR-,"D(CR),M(R)",8,1,0,1,3,Guéla Doué,447449,Defender,148,Strasbourg,22,fr,France,Ligue 1,7.08,653,1,0,21
-DC-,D(C),8,0,1,1,0,Nayef Aguerd,362434,Defender,249,Marseille,22,fr,France,Ligue 1,7.0675,709,2,0,22
