playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-FW-,FW,England,EPL,11,5,14,1,Erling Haaland,315227,Forward,167,Man City,England,Premier League,7.900909091,948,0,0,1
-DL-MC-,"D(L),M(C)",England,EPL,11,1,1,3,Granit Xhaka,89401,Midfielder,16,Sunderland,England,Premier League,7.367272727,990,4,0,2
-DC-DMC-,"D(C),DMC",England,EPL,11,2,2,2,Declan Rice,332325,Midfielder,13,Arsenal,England,Premier League,7.330909091,896,0,0,3
-DC-DR-MR-,"D(CR),M(R)",England,EPL,9,2,1,1,Nordi Mukiele,299077,Defender,16,Sunderland,England,Premier League,7.306666667,810,1,0,4
-DMC-DR-,"D(R),DMC",England,EPL,11,3,3,1,Moisés Caicedo,410175,Midfielder,15,Chelsea,England,Premier League,7.299090909,945,2,0,5
-DC-,D(C),England,EPL,11,2,1,2,Gabriel Magalhães,334087,Defender,13,Arsenal,England,Premier League,7.299090909,990,1,0,6
-MC-ML-MR-,M(CLR),England,EPL,11,2,1,3,Jérémy Doku,388098,Forward,167,Man City,England,Premier League,7.298181818,623,0,0,7
-DC-,D(C),England,EPL,9,1,2,0,Dan Ballard,371761,Defender,16,Sunderland,England,Premier League,7.282222222,581,0,0,8
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,10,1,1,4,Mohammed Kudus,400166,Midfielder,30,Tottenham,England,Premier League,7.255,879,3,0,9
-FW-MC-ML-,"M(CL),FW",England,EPL,10,1,1,4,Jack Grealish,113069,Midfielder,31,Everton,England,Premier League,7.239,827,3,0,10
-DC-,D(C),England,EPL,10,1,1,1,Marc Guéhi,374631,Defender,162,Crystal Palace,England,Premier League,7.234,900,0,0,11
-DL-MC-ML-MR-,"D(L),M(CLR)",England,EPL,9,2,3,0,Bukayo Saka,367185,Forward,13,Arsenal,England,Premier League,7.223333333,684,0,0,12
-AMC-AML-FW-,"AM(CL),FW",England,EPL,11,2,4,3,João Pedro,373525,Forward,15,Chelsea,England,Premier League,7.211818182,934,0,0,13
-DC-DL-DR-,D(CLR),England,EPL,11,1,2,1,Jurriën Timber,388650,Defender,13,Arsenal,England,Premier League,7.209090909,883,2,0,14
-FW-,FW,England,EPL,11,2,8,0,Igor Thiago,443784,Forward,189,Brentford,England,Premier League,7.192727273,925,3,0,15
-DC-,D(C),England,EPL,8,0,1,1,Omar Alderete,344639,Defender,16,Sunderland,England,Premier League,7.18,667,1,0,16
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,4,1,Iliman Ndiaye,366116,Forward,31,Everton,England,Premier League,7.178181818,919,2,0,17
-AML-AMR-FW-,"AM(LR),FW",England,EPL,11,2,6,3,Antoine Semenyo,357073,Forward,183,Bournemouth,England,Premier League,7.174545455,990,2,0,18
-DMC-,DMC,England,EPL,9,2,3,1,Ryan Gravenberch,363884,Midfielder,26,Liverpool,England,Premier League,7.166666667,782,2,0,19
-DC-DMC-DR-,"D(CR),DMC",England,EPL,10,2,2,0,Trevoh Chalobah,353292,Defender,15,Chelsea,England,Premier League,7.16,842,2,1,20
-DC-DMC-DR-MR-,"D(CR),DMC,M(R)",England,EPL,11,1,1,2,Daniel Muñoz,400496,Defender,162,Crystal Palace,England,Premier League,7.158181818,990,3,0,21
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,0,1,1,Phil Foden,331254,Midfielder,167,Man City,England,Premier League,7.155555556,714,3,0,22
-DC-,D(C),England,EPL,11,1,0,1,Maxence Lacroix,401130,Defender,162,Crystal Palace,England,Premier League,7.145454545,990,1,0,23
-AML-AMR-,AM(LR),England,EPL,11,0,1,3,Yankuba Minteh,484175,Forward,211,Brighton,England,Premier League,7.138181818,952,0,0,24
-DC-,D(C),England,EPL,11,1,0,2,Marcos Senesi,328330,Defender,183,Bournemouth,England,Premier League,7.117272727,978,3,0,25
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,11,0,2,3,Bruno Fernandes,123761,Midfielder,32,Man Utd,England,Premier League,7.082727273,982,2,0,26
-DC-DMC-,"D(C),DMC",England,EPL,11,0,0,0,Chris Richards,395401,Defender,162,Crystal Palace,England,Premier League,7.082727273,990,0,0,27
-DMC-,DMC,England,EPL,11,1,2,1,Martín Zubimendi,372424,Midfielder,13,Arsenal,England,Premier League,7.080909091,940,2,0,28
-DMC-,DMC,England,EPL,11,2,2,1,João Palhinha,322774,Midfielder,30,Tottenham,England,Premier League,7.078181818,863,3,0,29
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,2,3,2,Pedro Neto,337916,Forward,15,Chelsea,England,Premier League,7.077272727,837,0,0,30
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,11,3,1,1,Dominik Szoboszlai,369875,Midfielder,26,Liverpool,England,Premier League,7.075454545,990,4,0,31
-FW-,FW,England,EPL,11,2,6,0,Jean-Philippe Mateta,328096,Forward,162,Crystal Palace,England,Premier League,7.071818182,963,2,0,32
