,playedPositionsShort,teamRegionName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-AMC-,AM(C),Italy,11,0,5,4,4,Nico Paz,448659,Midfielder,1290,Como,Italy,Serie A,7.850909091,979,2,0,1
-DC-DL-ML-,"D(CL),M(L)",Italy,11,3,3,2,4,Federico Dimarco,255929,Defender,75,Inter,Italy,Serie A,7.49,777,1,0,2
-FW-MC-ML-MR-,"M(CLR),FW",Italy,9,0,3,5,1,Hakan Çalhanoglu,110373,Midfielder,75,Inter,Italy,Serie A,7.45,700,1,0,3
-ML-MR-,M(LR),Italy,11,0,1,2,1,Alexis Saelemaekers,365308,Forward,80,AC Milan,Italy,Serie A,7.410909091,953,1,0,4
-GK-,GK,Italy,7,0,2,0,0,Emil Audero,254692,Goalkeeper,2731,Cremonese,Italy,Serie A,7.377142857,630,0,0,5
-FW-MC-ML-MR-,"M(CLR),FW",Italy,7,3,2,4,2,Christian Pulisic,302692,Midfielder,80,AC Milan,Italy,Serie A,7.365714286,344,0,0,6
-MC-,M(C),Italy,11,0,2,1,2,Luka Modric,20874,Midfielder,80,AC Milan,Italy,Serie A,7.269090909,965,2,0,7
-GK-,GK,Italy,11,0,1,0,0,Ivan Provedel,118667,Goalkeeper,77,Lazio,Italy,Serie A,7.235454545,990,0,0,8
-GK-,GK,Italy,10,0,2,0,0,Arijanet Muric,362426,Goalkeeper,2889,Sassuolo,Italy,Serie A,7.217,900,2,0,9
-DC-,D(C),Italy,10,0,0,1,3,Alessandro Bastoni,329665,Defender,75,Inter,Italy,Serie A,7.212,866,1,0,10
-MC-,M(C),Italy,11,1,4,4,1,Frank Anguissa,349561,Midfielder,276,Napoli,Italy,Serie A,7.189090909,932,1,0,11
-DC-DMC-,"D(C),DMC",Italy,11,0,0,0,1,Gianluca Mancini,244804,Defender,84,Roma,Italy,Serie A,7.18,985,3,0,12
-AMC-AML-AMR-FW-,"AM(CLR),FW",Italy,10,1,1,2,3,Kenan Yildiz,494525,Forward,87,Juventus,Italy,Serie A,7.16,827,0,0,13
-DC-,D(C),Italy,11,1,2,1,0,Tiago Gabriel,515580,Defender,79,Lecce,Italy,Serie A,7.13,911,1,0,14
-AMC-,AM(C),Italy,11,1,0,1,3,Nicolò Barella,148684,Midfielder,75,Inter,Italy,Serie A,7.087272727,846,1,0,15
-GK-,GK,Italy,11,0,2,0,0,Elia Caprile,362780,Goalkeeper,78,Cagliari,Italy,Serie A,7.072727273,990,1,0,16
