teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Real Madrid,12,2,13,4,1050,Kylian Mbappé,-AMC-AML-AMR-FW-,"AM(CLR),FW",300713,Forward,1,0,52,Spain,LaLiga,206,Spain,2,8.0475
Barcelona,8,4,4,3,634,Lamine Yamal,-AMR-,AM(R),480249,Forward,2,0,65,Spain,LaLiga,206,Spain,0,7.89875
Villarreal,5,0,3,1,313,Gerard Moreno,-AMC-AMR-FW-,"AM(CR),FW",97659,Forward,3,0,839,Spain,LaLiga,206,Spain,0,7.672
Real Madrid,12,4,5,3,869,Vinícius Júnior,-AML-FW-,"AM(L),FW",337782,Forward,4,0,52,Spain,LaLiga,206,Spain,2,7.5175
Villarreal,2,1,0,0,160,Yéremy Pino,-AMC-AML-AMR-,AM(CLR),403865,Midfielder,5,0,839,Spain,LaLiga,206,Spain,0,7.5
Real Sociedad,1,0,1,0,57,Álvaro Odriozola,-DR-,D(R),317354,Defender,6,0,68,Spain,LaLiga,206,Spain,0,7.47
Villarreal,3,2,1,0,257,Etta Eyong,-FW-,FW,445095,Forward,7,0,839,Spain,LaLiga,206,Spain,0,7.45
Real Betis,8,1,4,2,681,Antony,-AMR-,AM(R),364315,Forward,8,0,54,Spain,LaLiga,206,Spain,1,7.445
Barcelona,6,2,3,0,385,Raphinha,-AMC-AML-AMR-FW-,"AM(CLR),FW",300447,Forward,9,0,65,Spain,LaLiga,206,Spain,2,7.415
Mallorca,8,0,1,3,662,Pablo Maffeo,-DL-DR-MR-,"D(LR),M(R)",294848,Defender,10,0,51,Spain,LaLiga,206,Spain,3,7.38875
Real Madrid,12,5,3,1,793,Arda Güler,-AMC-AMR-,AM(CR),415181,Midfielder,11,0,52,Spain,LaLiga,206,Spain,1,7.365833333
Atletico,12,2,7,4,947,Julián Alvarez,-AMC-AML-AMR-FW-,"AM(CLR),FW",365409,Forward,12,0,63,Spain,LaLiga,206,Spain,1,7.358333333
Real Betis,8,2,3,0,558,Abde Ezzalzouli,-AML-,AM(L),427283,Forward,13,0,54,Spain,LaLiga,206,Spain,1,7.33875
Barcelona,8,2,3,1,486,Fermín López,-AMC-AML-,AM(CL),463838,Midfielder,14,0,65,Spain,LaLiga,206,Spain,1,7.28875
Sevilla,4,0,0,0,360,Kike Salas,-DC-DL-,D(CL),431509,Defender,15,0,67,Spain,LaLiga,206,Spain,0,7.2475
Barcelona,10,1,2,1,850,Pedri,-MC-ML-,M(CL),402197,Midfielder,16,1,65,Spain,LaLiga,206,Spain,0,7.237
Real Oviedo,12,0,0,3,1080,Aarón Escandell,-GK-,GK,141073,Goalkeeper,17,0,61,Spain,LaLiga,206,Spain,1,7.2175
Girona,7,0,2,1,529,Azzedine Ounahi,-AMC-AMR-,AM(CR),392361,Midfielder,18,0,2783,Spain,LaLiga,206,Spain,3,7.188571429
Real Madrid,8,1,2,0,472,Jude Bellingham,-FW-MC-ML-MR-,"M(CLR),FW",379868,Midfielder,19,0,52,Spain,LaLiga,206,Spain,0,7.18125
Villarreal,9,0,0,0,810,Luiz Júnior,-GK-,GK,400826,Goalkeeper,20,0,839,Spain,LaLiga,206,Spain,1,7.168888889
Villarreal,12,1,2,1,753,Nicolas Pépé,-AMC-AML-AMR-FW-,"AM(CLR),FW",239872,Forward,21,0,839,Spain,LaLiga,206,Spain,1,7.168333333
Real Madrid,10,1,1,1,811,Éder Militão,-DC-DR-,D(CR),337879,Defender,22,0,52,Spain,LaLiga,206,Spain,2,7.163
Barcelona,12,6,2,0,808,Marcus Rashford,-AMC-AML-AMR-FW-,"AM(CLR),FW",300299,Forward,23,0,65,Spain,LaLiga,206,Spain,2,7.128333333
Villarreal,9,1,0,1,797,Santiago Mouriño,-DC-DR-,D(CR),448936,Defender,24,1,839,Spain,LaLiga,206,Spain,3,7.11
Rayo Vallecano,4,0,0,0,352,Nobel Mendy,-DC-,D(C),469508,Defender,25,0,64,Spain,LaLiga,206,Spain,0,7.0975
Real Madrid,12,0,1,1,1072,Álvaro Carreras,-DC-DL-ML-,"D(CL),M(L)",437583,Defender,26,0,52,Spain,LaLiga,206,Spain,2,7.090833333
Real Betis,12,4,2,0,998,Pablo Fornals,-MC-ML-MR-,M(CLR),297203,Midfielder,27,0,54,Spain,LaLiga,206,Spain,1,7.073333333
Getafe,12,6,0,2,1080,Luis Milla,-MC-,M(C),279320,Midfielder,28,0,819,Spain,LaLiga,206,Spain,1,7.0575
Espanyol,11,3,0,1,814,Edu Expósito,-MC-,M(C),335696,Midfielder,29,0,70,Spain,LaLiga,206,Spain,2,7.053636364
Real Betis,12,2,5,4,1034,Cucho Hernández,-AMC-AML-AMR-FW-,"AM(CLR),FW",362501,Forward,30,0,54,Spain,LaLiga,206,Spain,1,7.0525
Getafe,3,1,1,1,270,Christantus Uche,-AMC-FW-,"AM(C),FW",531674,Midfielder,31,0,819,Spain,LaLiga,206,Spain,1,7.05
Atletico,12,4,2,2,899,Giuliano Simeone,-AML-AMR-,AM(LR),422918,Forward,32,0,63,Spain,LaLiga,206,Spain,1,7.048333333
Sevilla,11,3,1,1,915,José Ángel Carmona,-DC-DL-DR-MR-,"D(CLR),M(R)",422956,Defender,33,0,67,Spain,LaLiga,206,Spain,5,7.042727273
Atletico,4,0,0,0,360,José María Giménez,-DC-DR-,D(CR),135914,Defender,34,0,63,Spain,LaLiga,206,Spain,1,7.0375
Real Madrid,12,4,0,0,991,Federico Valverde,-DR-MC-ML-MR-,"D(R),M(CLR)",344644,Midfielder,35,0,52,Spain,LaLiga,206,Spain,1,7.035833333
Sevilla,10,1,0,1,839,Gabriel Suazo,-DL-ML-,"D(L),M(L)",286080,Defender,36,0,67,Spain,LaLiga,206,Spain,3,7.019
Real Sociedad,12,2,5,1,1050,Mikel Oyarzabal,-AMC-AML-AMR-FW-,"AM(CLR),FW",298839,Forward,37,0,68,Spain,LaLiga,206,Spain,1,7.015833333
Barcelona,11,1,5,1,701,Ferran Torres,-AML-AMR-FW-,"AM(LR),FW",349760,Forward,38,0,65,Spain,LaLiga,206,Spain,2,7.011818182
Athletic Club,8,1,2,2,537,Nico Williams,-AML-AMR-,AM(LR),408449,Forward,39,0,53,Spain,LaLiga,206,Spain,0,7.00875
Levante,9,1,5,0,729,Etta Eyong,-FW-,FW,445095,Forward,40,0,832,Spain,LaLiga,206,Spain,2,7.006666667
Barcelona,6,0,0,0,540,Joan García,-GK-,GK,422824,Goalkeeper,41,0,65,Spain,LaLiga,206,Spain,0,6.998333333
Real Betis,11,2,1,1,786,Giovani Lo Celso,-FW-MC-MR-,"M(CR),FW",303908,Midfielder,42,0,54,Spain,LaLiga,206,Spain,3,6.99
Espanyol,11,2,2,1,967,Carlos Romero,-DL-,D(L),468931,Defender,43,0,70,Spain,LaLiga,206,Spain,0,6.976363636
Valencia,7,0,1,2,454,Mouctar Diakhaby,-DC-DMC-,"D(C),DMC",322095,Defender,44,0,55,Spain,LaLiga,206,Spain,3,6.975714286
Sevilla,2,0,1,0,180,Dodi Lukébakio,-AMC-AML-AMR-FW-,"AM(CLR),FW",299490,Forward,45,0,67,Spain,LaLiga,206,Spain,0,6.975
Villarreal,9,0,1,1,810,Rafa Marín,-DC-,D(C),430301,Defender,46,0,839,Spain,LaLiga,206,Spain,1,6.972222222
Atletico,12,3,0,1,1080,Marcos Llorente,-DR-FW-MC-MR-,"D(R),M(CR),FW",254582,Midfielder,47,0,63,Spain,LaLiga,206,Spain,3,6.966666667
Real Madrid,1,0,0,0,90,Antonio Rüdiger,-DC-DL-DR-,D(CLR),104010,Defender,48,0,52,Spain,LaLiga,206,Spain,0,6.96
Real Betis,8,0,1,1,675,Marc Bartra,-DC-DMC-DR-,"D(CR),DMC",83686,Defender,49,0,54,Spain,LaLiga,206,Spain,0,6.95875
Barcelona,12,0,1,1,936,Eric García,-DC-DMC-DR-,"D(CR),DMC",368091,Defender,50,0,65,Spain,LaLiga,206,Spain,0,6.9575
Mallorca,7,2,0,1,371,Jan Virgili,,Forward,581683,Forward,51,0,51,Spain,LaLiga,206,Spain,0,6.951428571
Mallorca,2,0,0,0,180,Lucas Bergström,-GK-,GK,424586,Goalkeeper,52,0,51,Spain,LaLiga,206,Spain,0,6.95
Valencia,12,0,0,0,1080,Julen Agirrezabala,-GK-,GK,423108,Goalkeeper,53,0,55,Spain,LaLiga,206,Spain,1,6.9475
Real Sociedad,11,3,1,2,840,Ander Barrenetxea,-ML-MR-,M(LR),367857,Forward,54,0,68,Spain,LaLiga,206,Spain,1,6.946363636
Mallorca,11,0,6,1,897,Vedat Muriqi,-FW-,FW,254352,Forward,55,1,51,Spain,LaLiga,206,Spain,1,6.946363636
Barcelona,10,2,0,0,823,Frenkie de Jong,-DC-MC-,"D(C),M(C)",279423,Midfielder,56,1,65,Spain,LaLiga,206,Spain,2,6.946
