height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
193,88,34,False,True,-GK-,GK,England,nl,UEL,2,0,2,0,0,0.0,0.5,Marco Bizot,Marco,Bizot,83824,Goalkeeper,24,Aston Villa,10904,2025/2026,True,30,250,ceu,Europe,Europa League,8.16,180,1.0,0.0,76.40449438202246,1
181,81,31,False,True,-DR-MC-MR-,"D(R),M(CR)",France,fr,UEL,3,0,1,4,0,3.3333333333333335,1.0,Corentin Tolisso,Corentin,Tolisso,134894,Midfielder,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.82,224,0.0,0.0,85.18518518518519,2
205,0,24,False,True,,Goalkeeper,Czech Republic,at,UEL,1,0,0,0,0,0.0,0.0,Florian Wiegele,Florian,Wiegele,533870,Goalkeeper,1076,Viktoria Plzen,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.82,90,0.0,0.0,76.92307692307693,3
0,0,24,False,True,-DC-,D(C),Czech Republic,lr,UEL,5,0,1,0,1,1.0,4.0,Sampson Dweh,Sampson,Dweh,455993,Defender,1076,Viktoria Plzen,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.782000000000001,450,2.0,0.0,86.22448979591837,4
176,0,22,False,True,-AMC-,AM(C),Greece,gr,UEL,4,0,1,2,0,2.0,0.25,Giannis Konstantelias,Giannis,Konstantelias,476927,Midfielder,851,PAOK Thessaloniki FC,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.7775,345,0.0,0.0,82.92682926829268,5
194,91,38,False,True,-GK-,GK,Switzerland,ch,UEL,4,0,1,0,0,0.0,0.5,Marwin Hitz,Marwin,Hitz,36152,Goalkeeper,401,FC Basel 1893,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.654999999999999,360,0.0,0.0,74.10714285714286,6
194,75,24,False,True,-DC-,D(C),Scotland,gb-eng,UEL,1,0,0,0,0,1.0,6.0,Emmanuel Fernandez,Emmanuel,Fernandez,422362,Defender,306,Rangers,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.56,90,0.0,0.0,87.27272727272727,7
184,70,34,False,True,-DC-DMC-DR-,"D(CR),DMC",Spain,es,UEL,1,0,0,0,0,0.0,4.0,Marc Bartra,Marc,Bartra,83686,Defender,54,Real Betis,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.56,90,0.0,0.0,89.0,8
176,67,38,False,True,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,UEL,5,1,2,2,1,1.8,0.0,Iago Aspas,Iago,Aspas,91242,Forward,62,Celta Vigo,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.502000000000001,349,1.0,0.0,75.77319587628865,9
174,63,25,False,True,-AMR-,AM(R),Spain,br,UEL,4,0,1,2,2,2.75,0.25,Antony,Antony Matheus,dos Santos,364315,Forward,54,Real Betis,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.49,313,1.0,0.0,84.05797101449275,10
179,77,23,False,True,-AML-FW-,"AM(L),FW",France,ma,UEL,5,1,1,4,1,3.8,0.8,Hamza Igamane,Hamza,Igamane,470816,Forward,607,Lille,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.4879999999999995,322,1.0,0.0,71.5909090909091,11
181,74,31,False,True,-FW-,FW,Hungary,hu,UEL,5,1,2,3,0,1.4,7.2,Barnabás Varga,Barnabás,Varga,476796,Forward,994,Ferencvaros,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.481999999999999,359,1.0,0.0,59.130434782608695,12
176,70,28,False,True,-MC-MR-,M(CR),Greece,pt,UEL,1,0,0,0,0,1.0,2.0,Renato Sanches,Renato Júnior,Luz Sanches,299450,Midfielder,685,Panathinaikos,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.47,77,0.0,0.0,85.0,13
184,76,32,False,True,-DC-,D(C),Romania,ba,UEL,3,0,0,0,0,0.0,1.3333333333333333,Daniel Graovac,Daniel,Graovac,145305,Defender,1202,FC FCSB,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.463333333333334,270,0.0,0.0,84.21052631578947,14
184,77,29,False,True,-DC-DMC-,"D(C),DMC",Spain,es,UEL,3,1,0,0,2,1.0,0.3333333333333333,Marc Roca,Marc,Roca,323148,Midfielder,54,Real Betis,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.426666666666667,211,0.0,0.0,91.93548387096774,15
197,82,28,False,True,-GK-,GK,France,sk,UEL,4,0,0,0,0,0.0,0.0,Dominik Greif,Dominik,Greif,383094,Goalkeeper,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.4075,360,0.0,0.0,90.41095890410958,16
184,77,27,False,True,-DC-DL-DMC-,"D(CL),DMC",Norway,,UEL,5,0,1,1,0,0.4,3.6,Jacob Sørensen,Jacob,Sørensen,404572,Midfielder,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.386,438,1.0,0.0,80.859375,17
0,0,24,False,True,-MC-,M(C),Bulgaria,rs,UEL,5,0,1,5,0,2.6,0.8,Petar Stanic,Petar,Stanic,425335,Midfielder,9449,Ludogorets Razgrad,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.386,423,0.0,0.0,83.66013071895425,18
