height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
188,86,32,False,True,-AMC-FW-,"AM(C),FW",Germany,gb-eng,GB,11,1,5,14,3,3.3636363636363638,1.0909090909090908,Harry Kane,Harry,Kane,83532,Forward,37,Bayern,10720,2025/2026,True,3,81,de,Germany,Bundesliga,8.32909090909091,877,0.0,0.0,83.68055555555556,1
179,72,18,False,True,-AMR-,AM(R),Spain,es,SLL,9,1,4,4,6,4.555555555555555,0.0,Lamine Yamal,Lamine Yamal,Nasraoui Ebana,480249,Forward,65,Barcelona,10803,2025/2026,True,4,206,es,Spain,LaLiga,8.080000000000002,724,0.0,0.0,82.03125,2
178,75,26,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,fr,SLL,13,0,4,13,3,4.769230769230769,0.23076923076923078,Kylian Mbappé,Kylian,Mbappé,300713,Forward,52,Real Madrid,10803,2025/2026,True,4,206,es,Spain,LaLiga,8.063846153846155,1140,3.0,0.0,89.80891719745223,3
186,74,21,False,True,-AMC-,AM(C),Italy,,ISA,13,0,6,5,5,3.4615384615384617,0.8461538461538461,Nico Paz,Nico,Paz,448659,Midfielder,1290,Como,10732,2025/2026,True,5,108,it,Italy,Serie A,7.924615384615383,1153,2.0,0.0,81.55172413793103,4
184,76,23,False,True,-AMC-AML-AMR-,AM(CLR),Germany,fr,GB,11,2,2,6,6,4.0,0.09090909090909091,Michael Olise,Michael,Olise,371281,Midfielder,37,Bayern,10720,2025/2026,True,3,81,de,Germany,Bundesliga,7.839090909090908,857,3.0,0.0,85.19793459552496,5
196,90,26,False,True,-DC-DL-,D(CL),Germany,fr,GB,2,0,0,0,0,2.5,8.0,Dan-Axel Zagadou,Dan-Axel,Zagadou,342548,Defender,41,Stuttgart,10720,2025/2026,True,3,81,de,Germany,Bundesliga,7.8100000000000005,165,0.0,0.0,83.62573099415205,6
195,88,25,False,True,-FW-,FW,England,no,EPL,12,0,5,14,1,4.166666666666667,2.5,Erling Haaland,Erling,Haaland,315227,Forward,167,Man City,10743,2025/2026,True,2,252,gb-eng,England,Premier League,7.780833333333333,1038,0.0,0.0,64.74820143884892,7
180,77,33,False,True,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,SLL,6,0,2,4,0,2.0,0.6666666666666666,Gerard Moreno,Gerard,Moreno,97659,Forward,839,Villarreal,10803,2025/2026,True,4,206,es,Spain,LaLiga,7.653333333333333,376,0.0,0.0,81.87134502923976,8
171,63,30,False,True,-DL-ML-,"D(L),M(L)",Germany,es,GB,10,0,2,4,4,2.0,0.3,Alejandro Grimaldo,Alejandro,Grimaldo,107252,Defender,36,Leverkusen,10720,2025/2026,True,3,81,de,Germany,Bundesliga,7.62,841,2.0,0.0,89.60396039603961,9
181,70,24,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",France,jm,FL1,12,1,2,10,3,3.5833333333333335,0.08333333333333333,Mason Greenwood,Mason,Greenwood,367782,Forward,249,Marseille,10792,2025/2026,True,22,74,fr,France,Ligue 1,7.62,955,1.0,0.0,81.83520599250936,10
176,71,25,False,False,-FW-,FW,France,ge,FL1,2,0,0,1,0,5.0,0.0,Georges Mikautadze,Georges,Mikautadze,389020,Forward,228,Lyon,10792,2025/2026,True,22,74,fr,France,Ligue 1,7.5600000000000005,180,0.0,0.0,84.375,11
172,65,23,False,False,-AMC-AML-AMR-,AM(CLR),Spain,es,SLL,2,0,0,0,1,1.0,0.0,Yéremy Pino,Yéremy,Pino,403865,Midfielder,839,Villarreal,10803,2025/2026,True,4,206,es,Spain,LaLiga,7.5,160,0.0,0.0,82.95454545454545,12
178,65,28,False,True,-AML-AMR-FW-,"AM(LR),FW",Germany,co,GB,11,1,1,6,4,3.090909090909091,0.18181818181818182,Luis Díaz,Luis,Díaz,377168,Forward,37,Bayern,10720,2025/2026,True,3,81,de,Germany,Bundesliga,7.487272727272727,895,4.0,0.0,85.68075117370893,13
176,66,29,False,True,-DR-,D(R),Spain,es,SLL,1,0,0,1,0,1.0,1.0,Álvaro Odriozola,Álvaro,Odriozola,317354,Defender,68,Real Sociedad,10803,2025/2026,True,4,206,es,Spain,LaLiga,7.47,57,0.0,0.0,100.0,14
181,75,22,False,False,-FW-,FW,Spain,cm,SLL,3,0,0,1,2,2.3333333333333335,0.3333333333333333,Etta Eyong,Karl Edouard Blaise,Etta Eyong,445095,Forward,839,Villarreal,10803,2025/2026,True,4,206,es,Spain,LaLiga,7.45,257,0.0,0.0,82.14285714285714,15
