height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
181,79,20,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",France,fr,UCL,1,0,0,2,0,2.0,0.0,Désiré Doué,Désiré,Doué,433183,Forward,304,PSG,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.92,46,0.0,0.0,78.26086956521739,1
178,75,26,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,fr,UCL,5,0,3,9,0,6.4,0.2,Kylian Mbappé,Kylian,Mbappé,300713,Forward,52,Real Madrid,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.632,441,0.0,0.0,86.16352201257862,2
185,78,26,False,True,-FW-,FW,Turkey,ng,UCL,3,0,2,6,0,6.0,2.6666666666666665,Victor Osimhen,Victor,Osimhen,298510,Forward,294,Galatasaray,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.450000000000001,226,0.0,0.0,66.66666666666666,3
186,83,21,False,True,-AML-,AM(L),Netherlands,nl,UCL,1,0,1,1,0,2.0,3.0,Ruben van Bommel,Ruben,van Bommel,484652,Forward,129,PSV Eindhoven,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.33,90,0.0,0.0,77.27272727272727,4
188,86,32,False,True,-AMC-FW-,"AM(C),FW",Germany,gb-eng,UCL,5,0,2,5,0,3.4,1.6,Harry Kane,Harry,Kane,83532,Forward,37,Bayern,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.146,401,0.0,0.0,78.29457364341084,5
183,76,24,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",France,ge,UCL,4,0,1,2,2,2.5,0.25,Khvicha Kvaratskhelia,Khvicha,Kvaratskhelia,370984,Forward,304,PSG,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.1325,307,0.0,0.0,90.33816425120773,6
174,72,28,False,True,-FW-,FW,Italy,ar,UCL,4,0,3,4,0,4.25,1.5,Lautaro Martínez,Lautaro,Martínez,299344,Forward,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,8.045,244,1.0,0.0,73.52941176470588,7
170,71,25,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,ar,UCL,4,0,2,3,2,3.25,0.5,Julián Alvarez,Julián,Alvarez,365409,Forward,63,Atletico,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.96,360,0.0,0.0,80.62015503875969,8
186,74,25,False,True,-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",England,hu,UCL,5,0,2,2,3,2.8,0.4,Dominik Szoboszlai,Dominik,Szoboszlai,369875,Midfielder,26,Liverpool,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.8340000000000005,450,0.0,0.0,91.45299145299145,9
179,72,18,False,True,-AMR-,AM(R),Spain,es,UCL,4,0,0,2,1,3.25,0.0,Lamine Yamal,Lamine Yamal,Nasraoui Ebana,480249,Forward,65,Barcelona,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.8225,335,2.0,0.0,77.90697674418605,10
